12/10/2023,,,
f6131,файл лежит на дискете,,
f6020,файл f6020_6021,"Сломал, но спектр измерил на спектроанализаторе","Trace C - вода, Trace B - воздух"
f2021,файл f6020_6021,,"Trace D - вода, Trace E - воздух"
f6019,файл f6019,,"Trace A - воздух, Trace B - вода"
f6130,файл f6130,,"Trace A - опорный от коня, B- воздух, С - вода"
16/10/2023,,,
f5990,файл F5990,,"Trace G - опорный, Trace F - воздух, Trace E - вода"
