TYPE,TRACE,A,B,C

DATE & TIME,07Nov2008 12:49AM WST
INSTRUMENT,86142A,SN US38380435,REV B.04.02
AIR/VACUUM/STP,VACUUM

TRACE,A,B,C
START,1425.000,1425.000,1425.000
STOP,1675.000,1675.000,1675.000
HORIZONTAL SCALE,nm,nm,nm
LENGTH (pts),1001,1001,1001
RBW (nm),0.20,0.20,0.20
VBW (Hz),194,194,194

REFERENCE LEVEL (dBm),-40.00,-40.00,-40.00
VERTICAL SCALE,dBm,dBm,dBm
SENSITIVITY (dBm),-79.87,-79.87,-79.87

AVERAGING,OFF,OFF,OFF
MIN,OFF,OFF,OFF
MAX,OFF,OFF,OFF
SMOOTHING,OFF,OFF,OFF
TRACE MATH,OFF,OFF,OFF
OFFSET (dB),0.000,0.000,0.000

MARKER,1
MARKER TRACE,A
MARKER X POSITION,1550.000
MARKER AMPLITUDE,-42.506
MARKER UNITS,dBm

INDEX,A,B,C
1,-41.975,-48.312,-49.142
2,-41.872,-48.072,-48.690
3,-41.869,-48.123,-48.608
4,-42.055,-48.559,-48.836
5,-41.986,-48.383,-48.785
6,-41.917,-47.986,-48.470
7,-41.917,-48.025,-48.657
8,-41.713,-48.056,-48.674
9,-41.817,-47.769,-48.366
10,-41.626,-47.869,-48.394
11,-41.668,-48.331,-48.580
12,-41.587,-48.251,-48.368
13,-41.547,-48.149,-48.253
14,-41.716,-48.352,-48.526
15,-41.731,-48.014,-48.412
16,-41.613,-47.702,-48.045
17,-41.776,-48.010,-48.292
18,-41.760,-48.335,-48.425
19,-41.715,-47.998,-48.054
20,-41.645,-48.276,-48.159
21,-41.824,-48.384,-48.339
22,-41.653,-47.998,-48.053
23,-41.400,-47.673,-47.866
24,-41.808,-47.763,-48.104
25,-41.588,-47.753,-48.116
26,-41.412,-47.465,-47.726
27,-41.656,-47.898,-48.078
28,-41.527,-48.014,-48.138
29,-41.400,-47.795,-47.758
30,-41.469,-47.580,-47.907
31,-41.477,-47.764,-48.182
32,-41.440,-47.449,-47.918
33,-41.358,-47.180,-47.677
34,-41.594,-47.462,-47.989
35,-41.430,-47.494,-47.920
36,-41.339,-47.034,-47.514
37,-41.468,-47.519,-47.836
38,-41.609,-47.660,-48.043
39,-41.585,-47.219,-47.718
40,-41.509,-46.993,-47.679
41,-41.738,-47.204,-47.939
42,-41.508,-46.994,-47.673
43,-41.509,-46.979,-47.486
44,-41.612,-47.336,-47.807
45,-41.671,-47.432,-47.772
46,-41.448,-47.019,-47.537
47,-41.596,-46.952,-47.547
48,-41.661,-47.101,-47.843
