TYPE,TRACE,A,B,C

DATE & TIME,07Nov2008 12:35AM WST
INSTRUMENT,86142A,SN US38380435,REV B.04.02
AIR/VACUUM/STP,VACUUM

TRACE,A,B,C
START,1425.000,1425.000,1425.000
STOP,1675.000,1675.000,1675.000
HORIZONTAL SCALE,nm,nm,nm
LENGTH (pts),1001,1001,1001
RBW (nm),0.20,0.20,0.20
VBW (Hz),194,194,194

REFERENCE LEVEL (dBm),-30.32,-30.32,-30.32
VERTICAL SCALE,dBm,dBm,dBm
SENSITIVITY (dBm),-79.87,-79.87,-79.87

AVERAGING,OFF,OFF,OFF
MIN,OFF,OFF,OFF
MAX,OFF,OFF,OFF
SMOOTHING,OFF,OFF,OFF
TRACE MATH,OFF,OFF,OFF
OFFSET (dB),0.000,0.000,0.000

MARKER,1
MARKER TRACE,A
MARKER X POSITION,1550.000
161,-54.201,-42.142,-52.442
162,-54.264,-42.088,-52.730
163,-53.894,-41.872,-52.498
164,-53.020,-41.920,-52.682
165,-52.839,-42.072,-53.161
166,-52.170,-42.002,-52.648
167,-51.919,-41.790,-52.328
168,-53.326,-42.125,-52.769
169,-54.567,-42.180,-52.980
170,-54.223,-42.019,-52.843
171,-54.022,-41.945,-52.777
172,-52.975,-42.259,-53.018
173,-52.159,-42.063,-52.944
174,-51.993,-41.856,-52.512
175,-52.820,-42.159,-52.826
176,-54.090,-42.184,-52.915
177,-53.844,-41.913,-52.543
178,-53.855,-41.890,-52.634
179,-53.999,-42.089,-53.085
180,-52.909,-42.103,-53.125
181,-51.953,-41.837,-52.658
182,-52.396,-42.050,-52.909
183,-53.062,-42.181,-52.837
184,-54.195,-41.857,-52.582
185,-54.011,-42.042,-52.609
186,-54.342,-42.168,-52.919
187,-53.210,-42.209,-53.147
188,-52.115,-41.918,-52.560
189,-52.324,-42.114,-53.112
190,-52.928,-42.338,-52.895
191,-53.373,-42.074,-52.561
192,-53.799,-41.999,-52.629
193,-54.309,-42.287,-53.010
194,-53.981,-42.154,-53.045
195,-52.711,-41.966,-52.684
196,-52.172,-42.093,-53.008
197,-52.588,-42.229,-53.457
198,-53.053,-42.171,-53.002
199,-54.013,-41.915,-52.650
200,-54.369,-42.264,-52.953
201,-54.419,-42.389,-52.998
202,-52.819,-41.951,-52.949
203,-52.529,-42.219,-53.110
204,-52.732,-42.325,-53.719
205,-52.851,-42.274,-53.257
206,-53.432,-42.057,-52.735
207,-54.427,-42.122,-53.214
208,-54.828,-42.405,-53.516
209,-53.892,-42.109,-53.099
210,-52.852,-42.104,-53.062
211,-52.631,-42.334,-53.443
212,-52.469,-42.279,-53.122
213,-53.075,-41.998,-53.094
214,-54.741,-42.361,-53.410
215,-54.951,-42.447,-53.578
216,-54.368,-42.203,-53.076
217,-52.937,-42.378,-52.984
218,-52.862,-42.269,-53.913
219,-52.842,-42.485,-53.806
220,-52.912,-42.090,-53.306
221,-53.901,-42.239,-53.368
222,-54.747,-42.580,-53.588
223,-54.726,-42.329,-53.390
224,-53.968,-42.229,-53.180
225,-53.322,-42.520,-53.479
226,-52.813,-42.419,-53.606
227,-52.458,-42.217,-53.215
228,-53.494,-42.349,-53.508
229,-55.443,-42.427,-53.945
230,-54.927,-42.491,-53.540
231,-54.374,-42.087,-53.071
232,-53.362,-42.288,-53.512
233,-53.040,-42.548,-54.062
234,-52.585,-42.183,-53.750
235,-53.186,-42.407,-53.563
236,-54.887,-42.532,-53.941
237,-54.968,-42.453,-53.751
238,-54.859,-42.251,-53.366
239,-54.064,-42.374,-53.370
240,-53.399,-42.581,-53.578
241,-52.491,-42.364,-53.391
242,-52.622,-42.143,-53.245
243,-54.127,-42.383,-54.030
244,-55.442,-42.635,-54.126
245,-55.089,-42.223,-53.539
246,-54.425,-42.476,-53.636
247,-53.604,-42.694,-53.986
248,-52.894,-42.420,-53.875
249,-52.600,-42.317,-53.509
250,-53.679,-42.412,-53.667
251,-55.334,-42.595,-53.968
252,-54.527,-42.508,-53.683
253,-54.615,-42.286,-53.765
254,-54.027,-42.617,-54.142
255,-53.218,-42.724,-53.982
256,-52.688,-42.329,-53.395
257,-53.145,-42.634,-53.554
