TYPE,TRACE,A,B,C,D

DATE & TIME,06Nov2008 10:36PM WST
INSTRUMENT,86142A,SN US38380435,REV B.04.02
AIR/VACUUM/STP,VACUUM

TRACE,A,B,C,D
START,1400.000,1400.000,1400.000,1400.000
STOP,1700.000,1700.000,1700.000,1700.000
HORIZONTAL SCALE,nm,nm,nm,nm
LENGTH (pts),1001,1001,1001,1001
RBW (nm),0.10,0.10,0.10,0.10
VBW (Hz),194,194,194,194

REFERENCE LEVEL (dBm),-30.00,-30.00,-30.00,-47.00
VERTICAL SCALE,dBm,dBm,dBm,dBm
SENSITIVITY (dBm),-72.21,-72.21,-72.21,-72.21

AVERAGING,OFF,OFF,OFF,OFF
MIN,OFF,OFF,OFF,OFF
MAX,OFF,OFF,OFF,OFF
SMOOTHING,OFF,OFF,OFF,OFF
TRACE MATH,OFF,OFF,OFF,OFF
OFFSET (dB),0.000,0.000,0.000,0.000

INDEX,A,B,C,D
124,-47.017,-48.791,-47.960,-48.743
125,-47.131,-48.857,-49.063,-48.620
126,-47.381,-49.411,-49.830,-49.062
127,-47.034,-48.872,-48.908,-48.810
128,-47.142,-49.042,-47.470,-48.903
129,-47.265,-49.277,-47.407,-49.050
130,-46.861,-48.892,-47.502,-48.664
131,-47.090,-48.779,-49.322,-48.743
132,-47.263,-49.183,-49.507,-48.969
133,-46.991,-49.155,-49.523,-48.683
134,-47.241,-49.140,-47.860,-49.040
135,-47.126,-49.065,-47.325,-48.890
136,-46.917,-49.074,-47.334,-48.765
137,-47.310,-49.155,-49.115,-48.984
138,-47.031,-48.846,-49.393,-48.802
139,-47.052,-49.094,-49.673,-48.875
140,-47.306,-49.406,-48.450,-49.073
141,-47.004,-48.877,-47.215,-48.832
142,-47.098,-49.199,-47.319,-48.784
143,-47.291,-49.510,-48.533,-49.116
144,-46.993,-48.742,-49.396,-48.703
145,-47.219,-48.990,-50.122,-48.889
146,-47.282,-49.562,-49.006,-49.151
147,-46.915,-48.912,-47.402,-48.923
148,-47.255,-49.227,-47.494,-48.951
149,-47.333,-49.486,-48.101,-49.137
150,-46.966,-49.176,-49.570,-48.691
151,-47.407,-49.087,-49.792,-49.145
152,-47.265,-49.327,-49.406,-49.148
153,-47.154,-49.350,-47.647,-49.040
154,-47.675,-49.608,-47.967,-49.547
155,-47.217,-49.260,-47.767,-49.134
156,-47.167,-49.462,-49.626,-49.007
157,-47.581,-49.505,-49.990,-49.307
158,-47.223,-49.131,-49.943,-49.092
159,-47.264,-49.438,-47.945,-49.153
160,-47.426,-49.679,-47.851,-49.371
161,-47.238,-49.141,-47.714,-49.147
162,-47.381,-49.650,-49.606,-49.269
163,-47.659,-49.899,-50.139,-49.463
164,-47.151,-49.152,-50.271,-49.133
165,-47.533,-49.422,-48.394,-49.307
166,-47.513,-49.772,-47.903,-49.522
167,-47.212,-49.192,-47.675,-49.130
168,-47.649,-49.581,-49.150,-49.419
169,-47.618,-49.951,-50.166,-49.526
170,-47.429,-49.472,-50.368,-49.356
171,-47.703,-49.523,-48.885,-49.528
172,-47.652,-49.847,-48.080,-49.533
173,-47.290,-49.604,-47.726,-49.277
174,-47.904,-49.639,-49.009,-49.695
175,-47.594,-49.886,-50.297,-49.480
176,-47.508,-49.792,-50.556,-49.318
177,-47.950,-49.791,-49.359,-49.781
178,-47.673,-49.592,-48.143,-49.601
179,-47.624,-49.939,-47.910,-49.499
180,-48.066,-49.913,-49.059,-49.869
181,-47.767,-49.601,-50.118,-49.750
182,-47.659,-50.113,-50.875,-49.607
183,-48.174,-50.164,-49.772,-50.053
184,-47.674,-49.538,-48.166,-49.711
185,-47.773,-50.009,-48.284,-49.811
186,-48.242,-50.478,-49.217,-50.149
187,-47.753,-49.695,-50.655,-49.809
188,-47.916,-50.238,-50.870,-49.860
189,-48.283,-50.569,-50.104,-50.142
190,-47.763,-49.749,-48.355,-49.843
191,-48.140,-50.080,-48.502,-50.186
192,-48.284,-50.691,-49.220,-50.250
193,-48.033,-49.874,-50.555,-49.904
194,-48.253,-50.207,-50.922,-50.176
195,-48.289,-50.693,-50.418,-50.137
196,-48.025,-50.253,-48.443,-50.012
197,-48.489,-50.380,-48.907,-50.455
