TYPE,TRACE,A,B,C,D

DATE & TIME,06Nov2008 10:36PM WST
INSTRUMENT,86142A,SN US38380435,REV B.04.02
AIR/VACUUM/STP,VACUUM

TRACE,A,B,C,D
START,1400.000,1400.000,1400.000,1400.000
STOP,1700.000,1700.000,1700.000,1700.000
HORIZONTAL SCALE,nm,nm,nm,nm
LENGTH (pts),1001,1001,1001,1001
RBW (nm),0.10,0.10,0.10,0.10
VBW (Hz),194,194,194,194

REFERENCE LEVEL (dBm),-30.00,-30.00,-30.00,-47.00
VERTICAL SCALE,dBm,dBm,dBm,dBm
SENSITIVITY (dBm),-72.21,-72.21,-72.21,-72.21

AVERAGING,OFF,OFF,OFF,OFF
MIN,OFF,OFF,OFF,OFF
MAX,OFF,OFF,OFF,OFF
SMOOTHING,OFF,OFF,OFF,OFF
TRACE MATH,OFF,OFF,OFF,OFF
OFFSET (dB),0.000,0.000,0.000,0.000

INDEX,A,B,C,D
499,-51.245,-54.293,-55.046,-54.383
500,-51.857,-55.177,-53.694,-55.701
501,-51.293,-54.484,-53.788,-52.901
502,-51.055,-55.023,-55.533,-53.378
503,-51.720,-54.794,-55.138,-55.165
504,-51.360,-54.702,-53.273,-55.737
505,-50.989,-54.909,-53.591,-52.770
506,-51.488,-54.731,-55.417,-53.919
507,-51.493,-55.104,-54.530,-55.298
508,-51.137,-54.261,-53.190,-54.655
509,-51.367,-55.136,-53.798,-53.218
510,-51.707,-54.663,-55.723,-53.815
511,-51.004,-54.986,-53.539,-55.434
512,-51.256,-54.508,-53.358,-53.330
513,-51.540,-55.126,-54.147,-53.424
514,-51.470,-54.663,-55.882,-53.814
515,-51.166,-54.583,-53.186,-55.541
516,-51.561,-54.988,-53.865,-53.147
517,-51.394,-54.676,-54.798,-53.566
518,-51.063,-54.870,-55.406,-53.962
519,-51.491,-54.514,-53.196,-55.589
520,-51.687,-55.153,-53.893,-53.071
521,-51.080,-54.301,-55.209,-53.345
522,-51.296,-54.939,-54.805,-55.327
523,-51.564,-54.674,-53.527,-54.758
524,-51.132,-54.891,-53.575,-52.775
525,-50.866,-54.244,-55.658,-53.215
526,-51.493,-55.024,-53.824,-55.784
527,-51.357,-54.307,-53.441,-53.059
528,-51.005,-54.623,-53.920,-53.059
529,-51.324,-54.417,-55.315,-54.599
530,-51.498,-54.639,-53.205,-55.302
531,-50.984,-54.329,-53.087,-52.477
532,-51.117,-54.594,-55.250,-52.843
533,-51.700,-54.518,-54.229,-56.011
534,-51.054,-54.335,-52.957,-52.744
535,-51.014,-54.375,-53.363,-53.044
536,-51.567,-54.421,-55.236,-54.085
537,-51.187,-54.549,-52.978,-55.558
538,-50.931,-53.953,-53.013,-52.080
539,-51.317,-54.509,-55.160,-53.302
540,-51.419,-54.464,-54.191,-55.523
541,-50.777,-53.983,-52.676,-52.553
542,-51.079,-54.218,-53.396,-52.908
543,-51.628,-54.329,-55.421,-54.299
544,-51.167,-53.889,-52.459,-54.640
545,-50.898,-53.940,-52.687,-52.239
546,-51.474,-54.103,-55.011,-53.101
547,-51.177,-54.005,-53.123,-55.616
548,-50.880,-53.620,-52.504,-51.955
549,-51.388,-54.015,-53.740,-53.222
550,-51.403,-54.028,-54.647,-54.743
551,-50.837,-53.364,-52.031,-52.824
552,-51.002,-53.961,-52.870,-52.519
553,-51.586,-53.789,-55.064,-53.301
554,-51.057,-53.398,-52.171,-54.368
555,-50.796,-53.248,-52.305,-51.849
556,-51.437,-53.866,-55.114,-53.088
557,-51.115,-53.457,-52.670,-54.819
558,-50.831,-53.107,-52.278,-51.540
559,-51.194,-53.263,-53.480,-52.437
560,-51.304,-53.767,-53.544,-55.039
561,-50.800,-52.833,-52.038,-51.737
562,-51.150,-53.330,-52.753,-52.455
563,-51.687,-53.169,-53.813,-54.357
564,-51.035,-53.326,-52.044,-52.290
565,-50.812,-52.520,-52.028,-51.946
566,-51.465,-53.177,-53.850,-53.789
567,-51.307,-52.933,-52.184,-52.404
568,-50.663,-52.377,-51.811,-51.711
569,-51.269,-52.985,-54.043,-52.877
570,-51.346,-52.841,-52.268,-52.476
571,-50.892,-52.706,-52.057,-51.882
572,-50.797,-52.232,-53.417,-52.253
573,-51.421,-53.076,-52.240,-52.815
574,-50.931,-52.311,-51.946,-51.826
575,-50.642,-52.276,-52.959,-52.142
576,-51.327,-52.727,-52.189,-52.163
577,-51.106,-52.316,-51.954,-51.898
578,-50.567,-51.889,-53.000,-52.128
579,-50.919,-51.987,-51.617,-51.651
580,-51.325,-52.530,-52.111,-52.214
581,-50.658,-51.691,-52.375,-52.260
582,-50.677,-51.932,-51.158,-51.487
583,-51.330,-52.341,-52.270,-51.903
584,-50.991,-51.880,-51.940,-52.443
585,-50.566,-51.628,-51.357,-51.212
586,-50.956,-51.945,-51.881,-51.516
587,-51.196,-52.121,-51.758,-52.741
588,-50.310,-51.220,-50.992,-50.864
589,-50.443,-51.651,-51.610,-51.277
590,-51.146,-51.918,-51.926,-52.241
591,-50.503,-51.416,-51.067,-51.021
592,-50.446,-51.098,-51.303,-51.238
593,-50.897,-51.637,-51.365,-51.414
594,-50.980,-51.461,-51.210,-51.268
595,-50.340,-50.892,-51.235,-51.406
596,-50.849,-51.213,-50.830,-51.050
597,-50.835,-51.665,-51.552,-51.841
598,-50.337,-50.767,-50.816,-50.807
599,-50.228,-51.017,-50.655,-50.851
600,-50.780,-51.420,-51.725,-51.843
601,-50.341,-51.119,-50.943,-50.757
602,-50.225,-50.694,-50.504,-50.764
603,-50.505,-51.156,-51.078,-51.242
604,-50.652,-51.387,-51.154,-50.974
605,-49.969,-50.604,-50.729,-51.107
606,-50.204,-51.020,-50.738,-50.861
607,-50.731,-51.133,-50.956,-50.818
608,-49.943,-50.699,-50.637,-51.038
609,-50.162,-50.487,-50.231,-50.481
610,-50.572,-51.178,-50.878,-50.971
611,-50.578,-50.749,-50.710,-51.037
612,-49.933,-50.507,-50.423,-50.464
613,-50.467,-50.655,-50.294,-50.664
614,-50.408,-50.781,-50.825,-51.043
615,-50.018,-50.407,-50.210,-50.691
616,-49.916,-50.438,-50.274,-50.175
617,-50.360,-50.890,-51.044,-51.308
618,-50.037,-50.524,-50.324,-50.582
619,-49.503,-50.408,-50.305,-50.320
620,-50.252,-50.614,-50.675,-50.471
621,-50.065,-50.801,-50.569,-50.959
622,-49.896,-50.452,-50.186,-50.099
623,-49.954,-50.450,-50.617,-50.576
624,-50.525,-50.399,-50.403,-50.740
625,-49.970,-50.444,-50.392,-50.448
626,-49.859,-50.250,-50.066,-50.119
627,-49.973,-50.308,-50.255,-50.612
628,-50.099,-50.690,-50.387,-50.472
629,-49.580,-49.961,-50.160,-50.226
630,-49.904,-50.263,-49.992,-50.307
631,-50.215,-50.705,-50.628,-50.912
632,-49.624,-50.065,-49.974,-50.066
633,-49.710,-50.121,-50.327,-50.406
634,-49.894,-50.576,-50.286,-50.427
635,-49.964,-50.336,-50.663,-50.240
636,-49.648,-49.874,-49.907,-49.974
637,-49.908,-50.060,-49.942,-50.213
638,-50.059,-50.530,-50.645,-50.371
639,-49.652,-50.089,-50.112,-50.061
640,-49.552,-49.870,-49.908,-50.040
641,-50.034,-50.483,-50.381,-50.198
642,-49.993,-50.000,-50.158,-50.505
643,-49.577,-49.487,-49.792,-49.979
644,-49.836,-50.110,-50.088,-50.134
645,-50.095,-50.374,-50.327,-50.654
646,-49.349,-49.794,-49.892,-49.922
647,-49.742,-49.815,-49.889,-49.988
648,-49.935,-50.135,-50.451,-50.298
649,-49.985,-49.885,-50.234,-50.305
650,-49.494,-49.931,-50.175,-50.043
651,-49.896,-50.137,-49.941,-50.040
652,-49.994,-50.394,-50.354,-50.389
653,-49.325,-49.931,-49.880,-49.840
654,-49.469,-49.727,-49.980,-49.715
655,-50.245,-50.057,-50.386,-50.498
656,-49.648,-49.739,-49.943,-50.054
657,-49.538,-49.730,-49.816,-49.655
658,-49.957,-50.064,-49.994,-50.063
659,-49.940,-49.931,-49.965,-50.063
660,-49.544,-50.162,-49.982,-49.931
661,-49.558,-49.526,-49.659,-49.780
662,-50.033,-50.192,-50.161,-50.423
663,-49.718,-49.694,-49.758,-49.934
664,-49.536,-49.735,-49.731,-49.865
665,-49.436,-49.912,-49.944,-50.131
666,-49.873,-50.162,-50.116,-50.421
667,-49.275,-49.596,-49.494,-49.674
668,-49.493,-49.733,-49.706,-49.831
669,-49.842,-50.012,-49.957,-50.076
670,-49.447,-49.879,-49.603,-49.807
671,-49.091,-49.665,-49.605,-49.623
672,-49.720,-49.975,-49.781,-50.004
673,-49.639,-50.301,-50.152,-50.281
674,-49.237,-49.523,-49.572,-49.682
675,-49.369,-49.645,-49.594,-49.777
676,-49.845,-49.897,-49.940,-49.949
677,-49.319,-49.540,-49.661,-49.867
678,-49.615,-49.367,-49.318,-49.626
679,-49.732,-49.941,-49.922,-49.913
680,-49.815,-50.191,-50.083,-50.314
681,-49.298,-49.615,-49.786,-49.589
682,-49.345,-49.611,-49.485,-49.742
683,-49.790,-49.822,-50.044,-50.041
684,-49.416,-49.575,-49.580,-49.835
685,-49.475,-49.646,-49.698,-49.659
686,-49.629,-49.831,-49.816,-49.801
687,-49.676,-50.287,-50.345,-50.039
688,-49.158,-49.949,-49.923,-49.798
689,-49.143,-49.828,-49.793,-49.555
690,-49.830,-50.255,-50.368,-50.194
691,-49.373,-49.816,-49.960,-49.561
692,-49.259,-49.552,-49.709,-49.510
693,-49.562,-49.735,-49.867,-49.770
694,-49.699,-49.618,-49.665,-50.067
695,-49.170,-49.549,-49.579,-49.667
696,-49.259,-49.603,-49.471,-49.712
697,-49.637,-49.665,-49.861,-49.985
698,-49.357,-49.701,-49.546,-49.717
699,-48.965,-49.309,-49.400,-49.378
700,-49.411,-49.646,-49.745,-49.743
701,-49.488,-49.876,-50.066,-49.926
702,-49.218,-49.747,-49.581,-49.645
703,-49.125,-49.678,-49.778,-49.606
704,-49.465,-50.070,-50.074,-49.956
705,-49.427,-49.584,-49.578,-49.767
706,-48.804,-49.723,-49.641,-49.518
707,-49.404,-49.738,-49.750,-49.714
708,-49.415,-49.891,-49.903,-49.881
709,-49.112,-49.255,-49.240,-49.539
710,-49.178,-49.244,-49.313,-49.454
711,-49.473,-49.856,-49.768,-49.859
712,-49.382,-49.581,-49.675,-49.630
713,-49.197,-49.527,-49.402,-49.589
714,-49.091,-49.453,-49.493,-49.359
715,-49.886,-50.231,-50.203,-50.138
716,-48.897,-49.471,-49.576,-49.480
717,-49.173,-49.317,-49.304,-49.361
718,-49.529,-49.495,-49.456,-49.688
719,-49.180,-49.401,-49.483,-49.620
720,-49.251,-49.068,-49.253,-49.303
721,-49.141,-49.324,-49.281,-49.374
722,-49.569,-49.734,-49.688,-49.683
723,-49.200,-49.677,-49.717,-49.472
724,-48.793,-49.489,-49.525,-49.381
725,-49.392,-49.766,-49.683,-49.597
726,-49.322,-49.940,-50.129,-49.724
727,-48.751,-49.525,-49.454,-49.153
728,-48.859,-49.445,-49.474,-49.146
729,-49.318,-49.527,-49.538,-49.500
730,-49.014,-49.283,-49.205,-49.297
731,-48.791,-49.095,-49.012,-49.069
732,-49.105,-49.384,-49.305,-49.493
733,-49.472,-49.163,-49.423,-49.633
734,-49.000,-49.282,-49.205,-49.196
735,-48.930,-49.069,-49.035,-49.218
736,-49.181,-49.442,-49.495,-49.533
737,-49.166,-49.175,-49.265,-49.426
738,-48.716,-49.015,-48.893,-48.947
739,-48.867,-49.470,-49.358,-49.135
740,-49.431,-49.383,-49.440,-49.689
741,-48.621,-49.132,-48.991,-49.242
742,-48.841,-48.966,-49.091,-48.948
743,-49.022,-49.569,-49.557,-49.458
744,-49.167,-49.531,-49.682,-49.309
745,-48.774,-49.244,-49.274,-49.155
746,-48.680,-49.236,-49.199,-49.050
747,-49.117,-49.571,-49.363,-49.560
748,-48.684,-49.234,-49.030,-49.139
749,-48.668,-48.830,-48.838,-49.067
750,-49.085,-48.923,-48.986,-49.044
751,-48.986,-49.349,-49.523,-49.608
752,-48.896,-48.736,-48.914,-48.854
753,-48.445,-48.980,-49.107,-48.832
754,-49.343,-49.000,-48.907,-49.132
755,-48.921,-49.475,-49.131,-49.130
756,-48.812,-48.920,-49.012,-48.924
757,-48.884,-49.669,-49.432,-49.312
758,-49.006,-49.390,-49.443,-49.445
759,-48.725,-49.480,-49.525,-49.111
760,-48.519,-49.208,-49.141,-49.001
761,-48.646,-49.228,-49.047,-49.144
762,-48.771,-49.588,-49.545,-49.208
763,-48.503,-48.928,-49.029,-49.008
764,-48.424,-48.892,-48.924,-48.864
765,-49.056,-49.315,-49.443,-49.474
766,-48.721,-48.756,-48.744,-48.915
767,-48.521,-48.792,-48.828,-48.727
768,-48.786,-48.844,-48.859,-48.834
769,-48.860,-49.308,-49.209,-49.143
770,-48.695,-48.647,-48.667,-48.962
771,-48.398,-48.886,-48.742,-48.873
772,-48.906,-49.178,-49.076,-49.195
773,-48.592,-48.890,-49.071,-48.939
774,-48.566,-48.932,-48.787,-48.770
775,-48.670,-49.055,-48.959,-48.645
776,-48.674,-49.629,-49.475,-49.052
777,-48.591,-48.949,-49.013,-49.135
778,-48.247,-48.793,-48.508,-48.783
779,-48.689,-49.182,-49.264,-48.828
780,-48.937,-48.939,-48.978,-49.092
781,-48.603,-48.773,-48.684,-48.775
782,-48.506,-48.604,-48.544,-48.598
783,-48.903,-49.291,-49.217,-49.337
784,-48.600,-48.850,-48.876,-49.165
785,-48.567,-48.674,-48.765,-48.844
786,-48.346,-48.937,-48.917,-49.092
787,-49.025,-49.166,-49.090,-49.327
788,-48.382,-48.931,-48.956,-48.912
789,-48.523,-49.062,-48.889,-48.994
790,-48.745,-49.099,-49.083,-48.964
791,-48.596,-49.152,-49.076,-49.109
792,-48.579,-49.133,-48.992,-48.682
793,-48.324,-49.096,-48.942,-48.507
794,-48.719,-49.211,-49.355,-49.122
795,-48.615,-49.182,-48.973,-49.020
796,-48.284,-48.959,-49.084,-48.671
797,-48.620,-48.900,-48.846,-48.793
798,-48.835,-48.870,-48.963,-48.952
799,-48.297,-48.767,-48.624,-48.675
800,-48.370,-48.629,-48.678,-48.633
801,-48.489,-48.753,-48.804,-49.272
802,-48.665,-48.793,-48.728,-48.874
803,-48.207,-48.654,-48.685,-48.571
804,-48.461,-48.537,-48.548,-48.738
805,-48.615,-49.102,-49.084,-49.008
806,-48.382,-48.806,-48.880,-49.056
807,-48.464,-48.653,-48.591,-48.572
808,-48.404,-48.811,-48.773,-48.815
809,-48.588,-49.391,-49.269,-48.972
810,-48.405,-48.794,-48.764,-48.666
811,-48.038,-48.625,-48.680,-48.696
812,-48.611,-49.191,-48.800,-48.817
813,-48.471,-49.070,-49.107,-48.851
814,-48.086,-48.909,-48.816,-48.592
815,-48.299,-48.935,-48.883,-48.649
816,-48.280,-48.984,-48.839,-49.167
817,-48.472,-49.011,-48.846,-48.680
818,-48.234,-48.556,-48.530,-48.677
819,-48.425,-48.641,-48.571,-48.631
820,-48.691,-49.065,-48.930,-48.866
821,-48.317,-48.631,-48.539,-48.818
822,-47.962,-48.264,-48.397,-48.466
823,-48.800,-48.916,-48.822,-48.980
824,-48.305,-48.748,-48.772,-48.871
825,-48.492,-48.678,-48.621,-48.936
826,-48.155,-48.831,-48.671,-48.623
827,-48.751,-48.764,-48.820,-48.979
828,-48.458,-48.722,-48.734,-48.732
829,-48.245,-48.803,-48.824,-48.643
830,-48.391,-48.742,-48.756,-48.526
831,-48.712,-49.028,-48.897,-48.876
832,-48.180,-48.918,-48.852,-48.776
833,-48.342,-48.814,-48.904,-48.565
834,-48.479,-49.108,-48.899,-48.810
835,-48.457,-49.015,-48.955,-49.063
836,-48.339,-48.561,-48.396,-48.673
837,-47.851,-48.487,-48.406,-48.293
838,-48.291,-49.082,-49.032,-48.947
839,-48.198,-48.830,-48.549,-48.811
840,-47.893,-48.574,-48.451,-48.622
841,-48.194,-48.730,-48.671,-48.721
842,-48.414,-49.048,-48.865,-48.783
843,-48.126,-48.664,-48.621,-48.811
844,-47.953,-48.363,-48.221,-48.295
845,-48.190,-48.568,-48.459,-48.685
846,-48.181,-48.816,-48.742,-48.670
847,-48.016,-48.721,-48.613,-48.443
848,-47.785,-48.501,-48.339,-48.586
849,-48.104,-48.782,-48.703,-48.570
850,-48.300,-48.874,-48.751,-48.919
851,-48.016,-48.752,-48.612,-48.365
852,-47.893,-48.396,-48.262,-48.355
853,-48.334,-48.800,-48.729,-49.012
854,-48.174,-48.649,-48.530,-48.445
855,-47.901,-48.704,-48.646,-48.486
856,-48.209,-48.632,-48.456,-48.572
857,-48.434,-48.553,-48.562,-49.007
858,-48.489,-48.499,-48.505,-48.670
859,-47.911,-48.643,-48.517,-48.376
860,-48.350,-48.426,-48.416,-48.700
861,-48.140,-48.467,-48.437,-48.456
862,-48.301,-48.677,-48.518,-48.600
863,-48.033,-48.405,-48.321,-48.243
864,-48.239,-48.662,-48.516,-48.515
865,-48.627,-48.841,-48.891,-49.015
866,-48.230,-48.557,-48.459,-48.396
867,-47.783,-48.363,-48.252,-48.009
868,-48.243,-48.945,-48.775,-48.671
869,-48.296,-48.614,-48.411,-48.507
870,-47.719,-48.376,-48.352,-48.091
871,-48.349,-48.407,-48.330,-48.216
872,-48.096,-48.774,-48.796,-48.756
873,-47.878,-48.443,-48.407,-48.415
874,-47.841,-48.389,-48.385,-48.021
875,-47.901,-48.368,-48.225,-48.263
876,-48.013,-48.474,-48.247,-48.477
877,-47.897,-48.578,-48.422,-48.392
878,-47.888,-47.985,-48.059,-47.921
879,-47.629,-48.061,-47.921,-48.203
880,-48.330,-48.729,-48.558,-48.595
881,-47.600,-48.253,-48.128,-47.972
882,-47.535,-47.919,-47.842,-47.769
883,-48.101,-48.569,-48.424,-48.634
884,-48.168,-48.678,-48.371,-48.406
885,-47.642,-48.063,-48.053,-47.690
886,-47.309,-48.020,-47.942,-47.947
887,-48.210,-48.509,-48.237,-48.564
888,-47.435,-48.291,-48.180,-47.844
889,-47.783,-47.979,-47.844,-47.709
890,-47.544,-48.218,-48.032,-48.105
891,-47.780,-48.427,-48.325,-48.222
892,-47.775,-48.332,-48.328,-47.893
893,-47.795,-47.996,-47.847,-47.979
894,-47.664,-48.142,-47.971,-48.206
895,-47.424,-48.607,-48.533,-47.979
896,-48.044,-47.962,-47.802,-47.998
897,-47.500,-47.788,-47.664,-48.010
898,-47.850,-48.512,-48.391,-47.889
899,-47.901,-48.225,-48.219,-48.064
900,-47.755,-47.823,-47.746,-47.931
901,-47.505,-48.232,-47.994,-47.556
902,-47.639,-48.213,-48.172,-47.975
903,-47.581,-48.087,-48.041,-47.852
904,-47.297,-48.007,-47.789,-47.798
905,-47.614,-47.822,-47.892,-47.685
906,-47.842,-48.328,-48.312,-48.042
907,-47.359,-48.464,-48.213,-47.849
908,-47.397,-48.070,-48.065,-47.660
909,-47.364,-48.103,-48.024,-47.638
910,-47.269,-48.170,-47.978,-48.048
911,-47.254,-48.142,-48.265,-47.782
912,-47.227,-47.767,-47.703,-47.422
913,-47.154,-48.003,-47.798,-48.056
914,-47.352,-48.285,-48.219,-48.118
915,-47.016,-47.759,-47.602,-47.409
916,-47.097,-47.536,-47.487,-47.518
917,-47.264,-48.023,-47.832,-47.992
918,-47.040,-47.609,-47.563,-47.523
919,-47.157,-47.430,-47.426,-47.584
920,-47.114,-47.998,-47.690,-47.585
921,-47.197,-47.830,-47.734,-47.822
922,-47.228,-47.441,-47.494,-47.583
923,-47.600,-47.612,-47.353,-47.668
924,-46.915,-47.366,-47.366,-47.525
925,-46.974,-47.663,-47.706,-47.481
926,-46.948,-47.531,-47.456,-47.330
927,-46.967,-47.405,-47.408,-47.528
928,-46.804,-47.317,-47.124,-47.398
929,-47.115,-47.583,-47.479,-47.448
930,-47.019,-47.253,-47.322,-47.637
931,-46.332,-47.386,-47.257,-47.377
932,-46.560,-47.346,-47.227,-47.384
933,-47.259,-47.467,-47.307,-47.759
934,-46.802,-47.456,-47.131,-47.343
935,-46.470,-47.224,-47.169,-47.109
936,-47.129,-47.557,-47.427,-47.375
937,-47.264,-47.428,-47.267,-47.325
938,-46.505,-47.395,-46.972,-47.247
939,-46.468,-47.162,-46.921,-46.988
940,-47.145,-47.329,-47.375,-46.964
941,-46.705,-47.248,-47.097,-47.231
942,-46.543,-47.380,-47.129,-47.110
943,-46.254,-47.137,-46.990,-46.608
944,-46.554,-47.126,-46.828,-46.805
945,-46.396,-47.129,-46.893,-47.109
946,-46.099,-47.010,-47.057,-46.701
947,-46.118,-46.741,-46.610,-46.352
948,-46.283,-47.079,-47.050,-46.802
949,-46.162,-46.996,-46.705,-47.081
950,-45.731,-46.277,-46.145,-46.303
951,-45.897,-46.364,-46.381,-46.080
952,-46.063,-46.672,-46.374,-46.872
953,-45.956,-46.247,-46.223,-46.409
954,-45.594,-46.080,-46.185,-46.157
955,-45.684,-46.301,-46.108,-46.054
956,-46.087,-46.335,-46.165,-46.267
957,-45.586,-46.123,-46.174,-46.195
958,-45.527,-45.940,-45.911,-45.807
959,-45.623,-45.843,-45.827,-45.866
960,-45.589,-45.993,-45.770,-46.598
961,-45.332,-46.060,-45.816,-45.837
962,-45.251,-45.729,-45.855,-45.412
963,-45.256,-45.754,-45.485,-45.950
964,-45.233,-45.900,-45.613,-46.105
965,-45.364,-46.060,-46.033,-45.808
966,-45.019,-45.489,-45.293,-45.333
967,-45.038,-45.796,-45.567,-45.412
968,-45.118,-46.051,-45.894,-45.920
969,-45.035,-45.781,-45.645,-45.919
970,-44.865,-45.366,-45.420,-45.130
971,-45.062,-45.804,-45.610,-45.535
972,-44.722,-45.620,-45.388,-45.525
973,-44.829,-45.392,-45.523,-45.472
974,-44.647,-45.055,-44.798,-44.867
975,-45.179,-45.212,-45.037,-45.257
976,-44.339,-45.034,-44.911,-45.609
977,-44.438,-45.011,-44.830,-44.954
978,-44.812,-44.891,-44.987,-44.281
979,-44.139,-44.645,-44.455,-44.920
980,-43.712,-44.660,-44.297,-44.768
981,-44.133,-44.548,-44.685,-44.494
982,-43.564,-44.185,-44.147,-44.419
983,-43.866,-44.618,-44.428,-44.416
984,-44.381,-44.549,-44.250,-44.406
985,-43.525,-44.508,-44.271,-44.350
986,-43.399,-44.222,-44.192,-44.156
987,-44.384,-44.347,-43.871,-44.180
988,-43.246,-44.301,-43.941,-44.076
989,-43.159,-43.915,-43.972,-44.005
990,-43.631,-43.680,-43.637,-43.814
991,-43.097,-44.029,-43.924,-43.636
992,-43.095,-44.022,-43.884,-43.548
993,-43.249,-44.033,-44.034,-43.789
994,-42.728,-43.528,-43.376,-43.456
995,-42.956,-43.377,-43.365,-43.405
996,-42.869,-43.554,-43.379,-43.379
997,-42.297,-43.247,-42.975,-43.523
998,-43.016,-43.429,-43.471,-43.344
999,-43.094,-43.408,-43.290,-43.319
1000,-42.381,-43.201,-43.117,-43.243
1001,-42.346,-42.879,-42.721,-43.250


STATE,0.vs,ZZZZZ000000097CW00lWW0mbyy7oOdm05(udn8c)8crGssZ(PBzQ7Q,Z6xhKXA9He6DCk1SfkHLELTm3V0IHt8N1AGHAG5UzR(RPAMfAKfeBQ,Z0VSYvS7IcZTq3881EeXIOZMrkZdfdVdG4zbs200
